filename,absolute_path,extension,size,modify_datetime,md5_checksum,sha256_checksum
33504-0.txt,C:\Users\Meghan\Desktop\networked-services-labs\data\shell-tests\33504-0.txt,.txt,596315,2022-10-05T10:55:19,4a4824543f8ceafb29640cdb0b1e05ad,1f8614b44df8622f3b35a0d30dbd2576a7759f057a68d5008c5fce2cdfbd2526
829-0.txt,C:\Users\Meghan\Desktop\networked-services-labs\data\shell-tests\829-0.txt,.txt,611861,2022-10-05T10:55:19,276fbd439bfbff7559b8a7285de1ae79,b23d4ba551334b7dee45008dabe3794dbc9b08ff4a2921e63441acccd39da687
diary.html,C:\Users\Meghan\Desktop\networked-services-labs\data\shell-tests\diary.html,.html,18746,2022-10-05T10:55:19,942410173e73a0534140fc563fce2579,960b38b5304bb4ace59fd9e0659e0d0d76387843ad625e897fb2be94ca9a06ac
pg514.txt,C:\Users\Meghan\Desktop\networked-services-labs\data\shell-tests\pg514.txt,.txt,1053440,2022-10-05T10:55:19,c760e4ce8b0df76afff5f3bb8cbeffdc,e6d764886dabbc2f5bb7d1bf6e31fe388a89b0296d960ed7951f0c66c605e901
web-files-small-metadata.csv,C:\Users\Meghan\Desktop\networked-services-labs\data\webfiles-samples\web-files-small-metadata.csv,.csv,9069,2022-10-05T10:55:19,8b82804b255dbc9e049857ddce66aaf2,252d1472474fbbb65af2a585fa26e8e84a786deb31010896e74c8d3052c73b1d
000727.ram,C:\Users\Meghan\Desktop\networked-services-labs\data\webfiles-samples\audio\000727.ram,.ram,79,2022-10-05T10:55:19,807f4a33e2198c1dd629c8902c37c535,d231f5779e4ec9604db2fb99ac92510b7d8263e471b2d636b4a39e8915802500
11-3250JohnsonvFolinoEtAl.wma,C:\Users\Meghan\Desktop\networked-services-labs\data\webfiles-samples\audio\11-3250JohnsonvFolinoEtAl.wma,.wma,21423499,2022-10-05T10:55:19,0822287ef2af6e97ead980c771bb8f97,2e90f5615ad4eaf273c1dfa9c4631e14a39da7f5a9a09edc5467b14f19dacd41
mj_telework_exchange_final_100710.mp3,C:\Users\Meghan\Desktop\networked-services-labs\data\webfiles-samples\audio\mj_telework_exchange_final_100710.mp3,.mp3,3471488,2022-10-05T10:55:19,0253b2c7820143b28f4b1febaece205d,8c276e00edc5e771559fc0970fdc688ace0c9f127d4ab4e6a4652acb705ff160
NEWSLINE_802AF71F439D401585C6FCB02F358307.mp3,C:\Users\Meghan\Desktop\networked-services-labs\data\webfiles-samples\audio\NEWSLINE_802AF71F439D401585C6FCB02F358307.mp3,.mp3,961195,2022-10-05T10:55:19,ad49bb75ecd85c86d8d4a2b418ce83cf,5d523832cd29efe1971bf88a1e9698021dda828547c1d774301424060eb10730
1005107061.tif,C:\Users\Meghan\Desktop\networked-services-labs\data\webfiles-samples\image\1005107061.tif,.tif,395734,2022-10-05T10:55:19,71a29e5cb072bd100d945298e78abde5,0883ce4870bc5f0c8336bb2f586f3bfcc4de28c3179215ac2b8d0bfc00238186
